search_term,match_type,campaign,ad_group,impressions,clicks,cost_gbp,conversions,conv_value_gbp
vitamin c serum,Phrase,Search - Non-Brand,Serums,18420,742,891.40,14.0,1120.00
best vitamin c serum for sensitive skin,Broad,Search - Non-Brand,Serums,3110,198,241.06,9.0,742.50
lumera serum,Exact,Search - Brand,Brand Core,9840,1522,304.40,88.0,7128.00
lumera skincare,Phrase,Search - Brand,Brand Core,4210,701,140.20,41.0,3321.00
vitamin c serum reviews,Broad,Search - Non-Brand,Serums,2870,131,168.99,2.0,158.00
how to use vitamin c serum,Broad,Search - Non-Brand,Serums,6640,214,246.10,1.0,79.00
vitamin c serum boots,Broad,Search - Non-Brand,Serums,1980,96,122.88,0.0,0.00
cheap vitamin c serum,Broad,Search - Non-Brand,Serums,2440,157,178.98,3.0,141.00
niacinamide serum,Phrase,Search - Non-Brand,Serums,7320,289,361.25,6.0,486.00
retinol serum for beginners,Broad,Search - Non-Brand,Retinol,4180,166,224.10,7.0,588.00
vitamin c serum for dark spots,Phrase,Search - Non-Brand,Serums,5210,241,301.25,11.0,913.00
is vitamin c serum safe during pregnancy,Broad,Search - Non-Brand,Serums,1640,58,66.70,0.0,0.00
lumera discount code,Exact,Search - Brand,Brand Core,2210,412,82.40,31.0,2418.00
serum jobs london,Broad,Search - Non-Brand,Serums,890,34,39.10,0.0,0.00
